number,x,y
1108,-23,24
1109,-31,-27
1110,42,0
1111,19,35
1112,-32,-27
1113,37,5
1114,-31,-14
1115,12,-30
1116,-5,-44
1117,10,-31
1118,39,-7
1119,44,-5
1120,-7,-49
1121,-7,17
1122,29,-6
1123,45,-6
1124,-23,23
1125,-27,-32
1126,-6,-35
1127,-17,28
1128,10,45
1129,-8,28
1130,-22,4
1131,45,-3
1132,5,45
1133,-13,-51
1134,-35,-9
1135,46,-3
1136,-21,22
1137,8,46
1138,-19,-6
1139,43,-8
1140,-29,-26
1141,27,-12
1142,-5,-45
1143,-21,21
1144,44,-7
1145,38,4
1146,45,-2
1147,-33,-27
1148,43,-9
1149,34,9
1150,-23,25
1151,31,14
1152,-24,25
1153,24,32
1154,-5,-46
1155,-31,-15
1156,6,44
1157,2,40
1158,14,-6
1159,11,45
1160,-12,-46
1161,39,4
1162,39,5
1163,9,48
1164,10,48
1165,1,41
1166,-13,-52
1167,-14,-51
1168,-12,11
1169,44,-9
1170,-22,21
1171,9,49
1172,-13,-53
1173,45,-9
1174,-4,-34
1175,36,13
1176,-14,-53
1177,-14,-54
1178,-14,-55
1179,19,36
1180,8,48
1181,11,48
1182,-34,-27
1183,12,48
1184,11,-31
1185,3,36
1186,39,6
1187,-15,-51
1188,10,-35
1189,36,4
1190,28,-10
1191,2,35
1192,-31,-8
1193,4,-36
1194,9,50
1195,-14,-56
1196,13,-30
1197,13,48
1198,35,14
1199,-28,-26
1200,-35,-27
1201,30,14
1202,-35,-28
1203,36,-5
1204,-10,-52
1205,-31,-7
1206,0,41
1207,-23,26
1208,-23,3
1209,-14,-50
1210,-19,-31
1211,40,-8
1212,47,-3
1213,-14,-57
1214,25,32
1215,-18,28
1216,26,32
1217,-12,-53
1218,-36,-28
1219,45,-10
1220,-28,-31
1221,-4,-45
1222,21,34
1223,-21,4
1224,-34,-8
1225,-15,-55
1226,40,6
1227,-7,-46
1228,10,50
1229,12,47
1230,-35,-8
1231,42,1
1232,-25,25
1233,-34,-26
1234,11,-35
1235,46,-2
1236,-14,-58
1237,46,-9
1238,37,13
1239,38,13
1240,-15,16
1241,0,42
1242,-15,-50
1243,47,-2
1244,26,33
1245,-21,-32
1246,-7,-50
1247,21,35
1248,-36,-9
1249,27,33
1250,-30,-29
1251,-16,16
1252,-15,-53
1253,-19,-38
1254,-22,5
1255,47,-1
1256,48,-3
1257,-17,29
1258,-25,24
1259,42,2
1260,9,51
1261,-16,-51
1262,21,19
1263,-19,0
1264,-25,26
1265,-35,-7
1266,9,52
1267,45,-11
1268,-16,-55
1269,43,2
1270,9,53
1271,-36,-8
1272,0,40
1273,27,32
1274,-25,-31
1275,9,54
1276,-17,30
1277,10,43
1278,-6,-49
1279,6,45
1280,47,-9
1281,44,-11
1282,-25,27
1283,9,55
1284,10,39
1285,-17,-51
1286,28,32
1287,-30,-7
1288,-16,-53
1289,-18,18
1290,-11,28
1291,13,47
1292,-22,6
1293,6,46
1294,45,-12
1295,48,-4
1296,45,-13
1297,-13,-58
1298,-37,-28
1299,-18,30
1300,-34,-7
1301,-37,-8
1302,8,54
1303,-7,27
1304,-17,31
1305,12,49
1306,37,12
1307,-31,-26
1308,8,52
1309,-18,-51
1310,13,-21
1311,9,56
1312,12,-29
1313,-37,-9
1314,-26,25
1315,-14,-59
1316,49,-3
1317,-26,27
1318,-15,-59
1319,-18,-50
1320,-18,-52
