"Time (s)","Rotation x (rad/s)","Rotation y (rad/s)","Rotation z (rad/s)"
3.570005676E1,1.466076635E-2,-4.764748737E-2,-1.270599663E-1
3.573005416E1,-1.221730467E-2,-2.199114859E-2,-7.452555746E-2
3.576004479E1,7.330383174E-3,-3.054326214E-2,-7.208210230E-2
3.579005156E1,0.000000000E0,0.000000000E0,0.000000000E0
3.581016354E1,-2.565634064E-2,-2.443460934E-2,-6.963863969E-2
3.584003802E1,-2.932153270E-2,-3.787364438E-2,-6.230825558E-2
3.587010052E1,0.000000000E0,0.000000000E0,0.000000000E0
3.589014739E1,5.375614017E-2,-4.520402849E-2,-3.543018550E-2
3.592003541E1,0.000000000E0,0.000000000E0,0.000000000E0
3.595004635E1,8.429940045E-2,-1.099557430E-2,1.062905490E-1
3.598004322E1,6.963863969E-2,-3.665191587E-3,8.674286306E-2
3.601004479E1,8.796459436E-2,2.687807009E-2,1.246165112E-1
3.603004479E1,8.307767659E-2,2.932153270E-2,1.026253626E-1
3.606006145E1,8.552113175E-2,4.153883830E-2,9.651670605E-2
3.609004479E1,9.040805697E-2,5.131268129E-2,1.404990107E-1
3.612003749E1,5.253441259E-2,6.841690838E-2,1.514945775E-1
3.615004010E1,4.764748737E-2,7.208210230E-2,1.893682331E-1
3.617004479E1,4.153883830E-2,6.963863969E-2,1.722639948E-1
3.619004791E1,3.176499158E-2,5.497787148E-2,1.624901593E-1
3.621015208E1,0.000000000E0,6.230825558E-2,1.637118906E-1
3.624005468E1,-3.665191308E-2,5.742133409E-2,1.172861308E-1
3.627001562E1,-8.674286306E-2,6.597344577E-2,8.063421398E-2
3.629005052E1,-1.246165112E-1,5.497787148E-2,7.330382615E-2
3.632006302E1,-1.734857261E-1,5.864306539E-2,5.253441259E-2
3.635004426E1,-2.492330223E-1,6.352998316E-2,3.665191308E-2
3.638004687E1,-2.871066630E-1,5.131268129E-2,2.321287990E-2
3.641014843E1,-3.066543639E-1,5.497787148E-2,-2.076941915E-2
3.643019114E1,-3.127630055E-1,6.230825558E-2,-4.520402849E-2
3.646004322E1,-3.384193480E-1,5.131268129E-2,-7.574728876E-2
3.649018072E1,-3.103195429E-1,4.276056588E-2,-1.062905490E-1
3.652005104E1,-2.858849466E-1,3.665191308E-2,-1.172861308E-1
3.655004687E1,-2.138028294E-1,2.687807009E-2,-1.172861308E-1
3.657004687E1,-1.966986060E-1,2.687807009E-2,-1.453859210E-1
3.660004322E1,-1.478293836E-1,2.199114859E-2,-1.441642046E-1
3.663003906E1,-1.404990107E-1,7.330383174E-3,-1.514945775E-1
3.665004114E1,-9.407325089E-2,-4.886921961E-3,-1.466076523E-1
3.668003229E1,-7.696902007E-2,-1.221730490E-3,-1.563815027E-1
3.670003437E1,-7.819075137E-2,0.000000000E0,-1.551597714E-1
3.673002604E1,-2.443460934E-2,1.221730490E-3,-7.452555746E-2
3.675003593E1,2.443460934E-2,3.665191587E-3,-1.087340117E-1
3.678002187E1,9.651670605E-2,-9.773843922E-3,-9.529497474E-2
3.680005104E1,8.796459436E-2,-7.330383174E-3,-6.841690838E-2
3.683004739E1,1.233947799E-1,-6.108652335E-3,-5.742133409E-2
3.686005208E1,1.343903542E-1,-1.221730490E-3,-2.443460934E-2
3.689002135E1,2.076941878E-1,0.000000000E0,-1.343903504E-2
3.691017031E1,2.700024247E-1,-1.099557430E-2,-6.108652335E-3
3.694004218E1,2.797762752E-1,-7.330383174E-3,3.787364438E-2
3.697007083E1,2.504547536E-1,-3.665191587E-3,6.963863969E-2
3.700005104E1,2.028072625E-1,-2.443460980E-3,8.674286306E-2
3.702016249E1,1.954768747E-1,-1.221730490E-3,1.038470939E-1
3.705003176E1,1.820378453E-1,0.000000000E0,1.246165112E-1
3.707004322E1,1.637118906E-1,-1.466076635E-2,1.270599663E-1
3.710005520E1,1.490511149E-1,-9.773843922E-3,1.441642046E-1
3.713003124E1,1.392772794E-1,-6.108652335E-3,1.710422635E-1
3.716005624E1,1.026253626E-1,-1.588249579E-2,1.600466967E-1
3.719004999E1,8.918632567E-2,-2.199114859E-2,1.673770845E-1
3.722004218E1,7.330382615E-2,-2.565634064E-2,1.563815027E-1
3.724005885E1,4.153883830E-2,-2.932153270E-2,1.466076523E-1
3.727003229E1,1.099557430E-2,-3.054326214E-2,1.319468915E-1
3.730003333E1,1.343903504E-2,-4.153883830E-2,1.295034289E-1
3.733003697E1,1.710422710E-2,-2.932153270E-2,1.062905490E-1
3.736006666E1,9.773843922E-3,-3.665191308E-2,6.841690838E-2
3.739004010E1,-7.330383174E-3,-5.009094998E-2,5.986479297E-2
3.742004010E1,7.330383174E-3,-7.819075137E-2,-1.221730490E-3
