"Time (s)","Rotation x (rad/s)","Rotation y (rad/s)","Rotation z (rad/s)"
2.518390420E2,1.792034321E-2,-4.205403924E-1,1.455630735E-2
2.518590519E2,2.708332054E-2,-4.449750185E-1,1.822149940E-2
2.518790704E2,3.868976235E-2,-4.645227194E-1,1.394544356E-2
2.518990774E2,4.602014646E-2,-4.767400324E-1,1.272371225E-2
2.519190902E2,5.212879553E-2,-4.956768155E-1,1.028025150E-2
2.519390985E2,6.007004529E-2,-5.280526876E-1,9.058520198E-3
2.519591120E2,6.190264225E-2,-5.610394478E-1,1.761063375E-2
2.519791253E2,6.678956747E-2,-5.909718275E-1,1.455630735E-2
2.519991446E2,6.434609741E-2,-6.019673944E-1,8.447655477E-3
2.520191578E2,6.556783617E-2,-6.013565063E-1,6.004194263E-3
2.520391716E2,6.007004529E-2,-5.805870891E-1,5.393329076E-3
2.520591857E2,5.212879553E-2,-5.702024102E-1,6.615059916E-3
2.520791992E2,4.602014646E-2,-5.683698058E-1,1.272371225E-2
2.520992122E2,3.930062428E-2,-5.799762607E-1,1.333457790E-2
2.521192250E2,2.891591564E-2,-5.848631859E-1,4.782463890E-3
2.521392385E2,1.792034321E-2,-5.750892758E-1,-7.153232000E-4
2.521592521E2,9.368229657E-3,-5.506547093E-1,-3.158784239E-3
2.521792596E2,-1.627344987E-3,-5.164462328E-1,-3.769649426E-3
2.521992737E2,-1.079032291E-2,-4.816269279E-1,-2.547919052E-3
2.522192871E2,-2.422935888E-2,-4.547488689E-1,-4.991379566E-3
2.522393006E2,-3.155974299E-2,-4.394772351E-1,-9.878301993E-3
2.522593134E2,-3.827925771E-2,-4.223729968E-1,-1.048916765E-2
2.522793352E2,-4.072272032E-2,-3.918297291E-1,-1.110003237E-2
2.522993529E2,-4.805310443E-2,-3.454039991E-1,-9.878301993E-3
2.523193689E2,-4.805310443E-2,-3.038651347E-1,-1.415435877E-2
2.523393761E2,-4.988570139E-2,-2.501089871E-1,-1.965214498E-2
2.523593891E2,-5.232916027E-2,-2.030723691E-1,-2.881512418E-2
2.523794002E2,-5.232916027E-2,-1.743617058E-1,-2.759339288E-2
2.523994123E2,-5.049656332E-2,-1.493162364E-1,-1.965214498E-2
2.524194221E2,-4.622050747E-2,-1.114425883E-1,-1.659782045E-2
2.524394353E2,-4.011185467E-2,-6.257337332E-2,-1.537608914E-2
2.524594520E2,-3.339233622E-2,-2.097711433E-3,-1.781954989E-2
2.524794744E2,-2.422935888E-2,5.532362312E-2,-1.598695479E-2
2.524994876E2,-1.262291893E-2,1.084688976E-1,-1.476522349E-2
2.525195004E2,-3.459940664E-3,1.426773518E-1,-1.232176274E-2
2.525395044E2,1.058996003E-2,1.652793735E-1,-1.232176274E-2
2.525595233E2,2.341813035E-2,1.854379177E-1,-9.878301993E-3
2.525795412E2,3.930062428E-2,2.239224315E-1,-4.380514845E-3
2.525995582E2,4.846360534E-2,2.795111835E-1,-1.044579622E-4
2.526195740E2,5.701572075E-2,3.399868309E-1,-7.153232000E-4
2.526395817E2,6.617869437E-2,3.955755532E-1,5.064072320E-4
2.526595916E2,7.228734344E-2,4.224536419E-1,-1.044579622E-4
2.526796005E2,7.167648524E-2,4.365035295E-1,4.171598703E-3
2.526996166E2,7.534167171E-2,4.487208128E-1,1.028025150E-2
2.527196369E2,7.473081350E-2,4.670467973E-1,1.150198188E-2
2.527396479E2,7.045476139E-2,4.963683188E-1,9.058520198E-3
2.527596625E2,6.007004529E-2,5.287442207E-1,5.393329076E-3
2.527796745E2,5.335053056E-2,5.574548244E-1,3.560733516E-3
2.527996872E2,4.418754950E-2,5.733373165E-1,9.669385850E-3
2.528196952E2,3.074851260E-2,5.776134133E-1,1.516717300E-2
2.528397033E2,1.914207265E-2,5.763916373E-1,1.638890430E-2
2.528597224E2,5.703037605E-3,5.715047717E-1,1.822149940E-2
2.528797352E2,-1.201205421E-2,5.672286749E-1,1.577803865E-2
2.528997488E2,-2.606195398E-2,5.733373165E-1,1.333457790E-2
2.529197563E2,-4.011185467E-2,5.727264881E-1,1.333457790E-2
